,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Место в рейтинге,Страна или регион,Баллы,ВВП на душу населения,Социальная поддержка,Ожидаемая продолжительность здоровой жизни,Свобода жизненных выборов,Щедрость,Восприятие коррупции,Баллы_new,ВВП_new
74,74.0,74.0,74.0,74.0,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,5.0,1.0
75,75.0,75.0,75.0,75.0,76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,5.0,1.0
76,76.0,76.0,76.0,76.0,77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,5.0,1.0
77,77.0,77.0,77.0,77.0,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,5.0,1.0
78,78.0,78.0,78.0,78.0,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,5.0,1.0
79,79.0,79.0,79.0,79.0,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,5.0,1.0
80,80.0,80.0,80.0,80.0,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,5.0,1.0
81,81.0,81.0,81.0,81.0,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,5.0,1.0
82,82.0,82.0,82.0,82.0,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,5.0,1.0
83,83.0,83.0,83.0,83.0,84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,5.0,1.0
84,84.0,84.0,84.0,84.0,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,5.0,1.0
85,85.0,85.0,85.0,85.0,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,5.0,1.0
86,86.0,86.0,86.0,86.0,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,5.0,1.0
87,87.0,87.0,87.0,87.0,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,5.0,1.0
88,88.0,88.0,88.0,88.0,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,5.0,1.0
89,89.0,89.0,89.0,89.0,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,5.0,1.0
90,90.0,90.0,90.0,90.0,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,5.0,1.0
91,91.0,91.0,91.0,91.0,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,5.0,1.0
92,92.0,92.0,92.0,92.0,93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,5.0,1.0
93,93.0,93.0,93.0,93.0,94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,5.0,1.0
94,94.0,94.0,94.0,94.0,95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,5.0,1.0
95,95.0,95.0,95.0,95.0,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,5.0,1.0
96,96.0,96.0,96.0,96.0,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,5.0,1.0
97,97.0,97.0,97.0,97.0,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,5.0,1.0
98,98.0,98.0,98.0,98.0,99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,5.0,1.0
99,99.0,99.0,99.0,99.0,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,5.0,0.0
100,100.0,100.0,100.0,100.0,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,5.0,1.0
101,101.0,101.0,101.0,101.0,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,5.0,0.0
102,102.0,102.0,102.0,102.0,103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,5.0,1.0
103,103.0,103.0,103.0,103.0,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,5.0,1.0
104,104.0,104.0,104.0,104.0,105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,5.0,1.0
105,105.0,105.0,105.0,105.0,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,5.0,1.0
106,106.0,106.0,106.0,106.0,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,5.0,1.0
107,107.0,107.0,107.0,107.0,108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,5.0,1.0
108,108.0,108.0,108.0,108.0,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,5.0,1.0
109,109.0,109.0,109.0,109.0,110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,5.0,1.0
110,110.0,110.0,110.0,110.0,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,5.0,0.0
111,111.0,111.0,111.0,111.0,112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,5.0,0.0
112,112.0,112.0,112.0,112.0,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,5.0,1.0
113,113.0,113.0,113.0,113.0,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,5.0,0.0
114,114.0,114.0,114.0,114.0,115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,5.0,0.0
115,115.0,115.0,115.0,115.0,116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,5.0,1.0
116,116.0,116.0,116.0,116.0,117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,5.0,1.0
117,117.0,117.0,117.0,117.0,118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,5.0,0.0
118,118.0,118.0,118.0,118.0,119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,5.0,1.0
119,119.0,119.0,119.0,119.0,120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,5.0,0.0
120,120.0,120.0,120.0,120.0,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,5.0,1.0
121,121.0,121.0,121.0,121.0,122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,4.0,1.0
122,122.0,122.0,122.0,122.0,123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,4.0,0.0
123,123.0,123.0,123.0,123.0,124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,4.0,1.0
124,124.0,124.0,124.0,124.0,125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,4.0,1.0
125,125.0,125.0,125.0,125.0,126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,4.0,1.0
126,126.0,126.0,126.0,126.0,127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,4.0,0.0
127,127.0,127.0,127.0,127.0,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,4.0,0.0
128,128.0,128.0,128.0,128.0,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,4.0,0.0
129,129.0,129.0,129.0,129.0,130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,4.0,1.0
130,130.0,130.0,130.0,130.0,131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,4.0,1.0
131,131.0,131.0,131.0,131.0,132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,4.0,0.0
132,132.0,132.0,132.0,132.0,133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,4.0,1.0
133,133.0,133.0,133.0,133.0,134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,4.0,0.0
134,134.0,134.0,134.0,134.0,135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135,4.0,1.0
135,135.0,135.0,135.0,135.0,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,4.0,0.0
136,136.0,136.0,136.0,136.0,137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,4.0,1.0
137,137.0,137.0,137.0,137.0,138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,4.0,1.0
138,138.0,138.0,138.0,138.0,139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,4.0,0.0
139,139.0,139.0,139.0,139.0,140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,4.0,1.0
140,140.0,140.0,140.0,140.0,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,4.0,0.0
141,141.0,141.0,141.0,141.0,142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,4.0,0.0
142,142.0,142.0,142.0,142.0,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,4.0,0.0
143,143.0,143.0,143.0,143.0,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,4.0,0.0
144,144.0,144.0,144.0,144.0,145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,4.0,0.0
145,145.0,145.0,145.0,145.0,146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,4.0,0.0
146,146.0,146.0,146.0,146.0,147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,4.0,0.0
147,147.0,147.0,147.0,147.0,148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,3.0,1.0
148,148.0,148.0,148.0,148.0,149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,3.0,1.0
149,149.0,149.0,149.0,149.0,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,3.0,0.0
150,150.0,150.0,150.0,150.0,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,3.0,0.0
151,151.0,151.0,151.0,151.0,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,3.0,0.0
152,152.0,152.0,152.0,152.0,153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,3.0,0.0
153,153.0,153.0,153.0,153.0,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,3.0,0.0
154,154.0,154.0,154.0,154.0,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,3.0,0.0
155,155.0,155.0,155.0,,100,Country,100.0,,,,,,,100.0,
156,156.0,156.0,,,100,Country,100.0,,,,,,,100.0,
157,157.0,,,,100,Country,100.0,,,,,,,100.0,
158,,,,,100,Country,100.0,,,,,,,100.0,
